API,status,Date(start),Date(end)
removeNotification/(:num),FALSE,,
general/follow,FALSE,,
general/followDataList,FALSE,,
general/unfollow/(:num),FALSE,,
general/removeFollower/(:num),FALSE,,
general/acceptfollow/(:num),FALSE,,
general/rejectfollow/(:num),FALSE,,
general/multi-remove-follower,FALSE,,
multi-unfollow,FALSE,,
multi-acceptfollow,FALSE,,
multi-deleteViewRequest,FALSE,,
multi-rejectfollow,FALSE,,
multi-approvedVeiwRequest,FALSE,,
general/verifyDocument,FALSE,,
general/saveDocument,FALSE,,
general/verifyAadhar,FALSE,,
general/verifyGst,FALSE,,
general/verifyDigilocker,FALSE,,
general/verificationStatus,FALSE,,
wapi/login/sendOtp,FALSE,,
wapi/login/verifyOtp,FALSE,,
wapi/login/googlelogin,FALSE,,
wapi/login/social-login,FALSE,,
wapi/login,FALSE,,
wapi/login/verify-otp,FALSE,,
wapi/employee/register,FALSE,,
wapi/company/register',FALSE,,
wapi/employee/signup,FALSE,,
wapi/employee/final-signup,FALSE,,
wapi/employee/upload-resume,FALSE,,
wapi/contact/save-enquiry,FALSE,,
wapi/career/save-enquiry,FALSE,,
wapi/general/consent,FALSE,,
wapi/home/top-company',FALSE,,
wapi/general/sitemap,FALSE,,
wapi/data-deletion,FALSE,,
wapi/data-deletion,FALSE,,
wapi/test,FALSE,,
wapi/test,FALSE,,
wapi/test,FALSE,,
wapi/test,FALSE,,
wapi/splace,FALSE,,
wapi/report-review',FALSE,,
wapi/all-delete-option,FALSE,,
wapi/request-delete-account',FALSE,,
wapi/ai-generate',FALSE,,
wapi/message-search',FALSE,,
wapi/field-suggestion,FALSE,,
wapi/check-ccid,FALSE,,
wapi/follow-revoke',FALSE,,
wapi/manual-document-submit',FALSE,,
wapi/faqs,FALSE,,
wapi/hired-throw',FALSE,,
wapi/update-hired-status',FALSE,,
wapi/decline-hired-status',FALSE,,
wapi/download-cv',FALSE,,
wapi/auto-fetch',FALSE,,
wapi/resume-fetch',FALSE,,
wapi/resume',FALSE,,
wapi/resume-parse',FALSE,,
wapi/backup,FALSE,,
wapi/update-view-request,FALSE,,
wapi/send-email-schedule,FALSE,,
wapi/send-email-schedule/(:num),FALSE,,
wapi/lat-long-update,FALSE,,
wapi/create-email-schedule,FALSE,,
wapi/create-email-schedule/(:num),FALSE,,
wapi/final-schedule-update,FALSE,,
wapi/create-reschedule/(:num),FALSE,,
wapi/cron-notice,FALSE,,
wapi/total-new-job-post,FALSE,,
wapi/job-viewed-not-applied,FALSE,,
wapi/has-not-applied-any-job,FALSE,,
wapi/new-job-match-your-skill,FALSE,,
wapi/candidate-matches-your-job-requirement,FALSE,,
wapi/gentle-reminder,FALSE,,
wapi/marked-immidiate-joiner,FALSE,,
wapi/no-login-or-action,FALSE,,
wapi/got-a-message,FALSE,,
wapi/unified-email,FALSE,,
wapi/update-percentage,FALSE,,
wapi/update-account-setting,FALSE,,
wapi/delete-otp,FALSE,,
wapi/percentage_status_reset,FALSE,,
wapi/send-email-import-employee,FALSE,,
wapi/recommend-employee',FALSE,,
wapi/recent-joined-employee',FALSE,,
wapi/pending-employee-reviews',FALSE,,
wapi/most-view-job',FALSE,,
wapi/review-detail/(:num)',FALSE,,
wapi/nearby-company',FALSE,,
wapi/random-widget',FALSE,,
wapi/similarcompany',FALSE,,
wapi/people-similar-university',FALSE,,
wapi/user-past-company',FALSE,,
wapi/user-current-company',FALSE,,
wapi/similaremployee',FALSE,,
wapi/featured-employee',FALSE,,
wapi/people-might-know',FALSE,,
wapi/nearby-employee',FALSE,,
wapi/similar-job',FALSE,,
wapi/immediate-joiner',FALSE,,
wapi/notice-period',FALSE,,
wapi/similar-companies-current',FALSE,,
wapi/recommended-employee-general',FALSE,,
wapi/people-recentaly-join',FALSE,,
wapi/currentaly-unemployed',FALSE,,
wapi/freshers',FALSE,,
wapi/auth-all-job',FALSE,,
wapi/widget-detail/(:any)',FALSE,,
wapi/view-impressions',FALSE,,
wapi/jobs-impressions',FALSE,,
wapi/people-viewed-profile',FALSE,,
wapi/company-viewed-profile',FALSE,,
wapi/details-jobs-impressions',FALSE,,
wapi/delete-files/(:num)',FALSE,,
wapi/delete-profile/(:num)',FALSE,,
track-email/(:num)/(:num),FALSE,,
wapi/top-company,FALSE,,
wapi/top-user,FALSE,,
wapi/landing-page,FALSE,,
wapi/send-reminder/(:num)',FALSE,,
wapi/request-domian-verification/(:num)',FALSE,,
wapi/unsubscribe/(:any),FALSE,,
wapi/subscribe/(:any),FALSE,,
wapi/search-data,FALSE,,
wapi/blog-list,FALSE,,
wapi/blog-detail/(:any),FALSE,,
wapi/get-slug,FALSE,,
wapi/mailtest,FALSE,,
wapi/update-ccid,FALSE,,
wapi/resume-download',FALSE,,
wapi/update-notice',FALSE,,
wapi/digilocker,FALSE,,
wapi/save-epfo',FALSE,,
wapi/resume-template',FALSE,,
wapi/resume-details',FALSE,,
wapi/switch-account/(:any),FALSE,,
wapi/create-user-group',FALSE,,
wapi/create-user-group/(:num)',FALSE,,
wapi/assign-user-permission',FALSE,,
wapi/assign-user-permission/(:num)',FALSE,,
wapi/menus/events',FALSE,,
wapi/user-group',FALSE,,
wapi/group-user-list',FALSE,,
wapi/user-permission-list',FALSE,,
wapi/edit-user-permission/(:num)',FALSE,,
